1,062
1,5143
1,9576
2,3866
2,7958
3,1802
3,5347
3,855
4,1369
4,3769
4,572
4,7196
4,8182
4,8665
4,8642
4,8115
4,7094
4,5596
4,3642
4,1263
3,8493
3,5373
3,1948
2,8267
2,4384
2,0354
1,6234
1,2084
0,7962
0,3928
0,004
-0,3649
-0,7083
-1,0216
-1,3001
-1,5399
-1,7375
-1,89
-1,9952
-2,0515
-2,0579
-2,0144
-1,9214
-1,78
-1,5922
-1,3604
-1,0877
-0,7779
-0,435
-0,0639
0,3304
0,7427
1,1671
1,5979
2,0293
2,4553
2,8701
3,2679
3,6435
3,9916
4,3074
4,5867
4,8257
5,0212
5,1704
5,2715
5,323
5,3244
5,2757
5,1777
5,0319
4,8402
4,6055
4,3311
4,021
3,6794
3,3112
2,9217
2,5162
2,1006
1,6806
1,2622
0,8513
0,4537
0,0749
-0,2797
-0,6051
-0,8967
-1,1504
-1,3625
-1,5302
-1,6509
-1,723
-1,7453
-1,7175
-1,64
-1,5136
-1,3402
-1,122
-0,8621
-0,564
-0,2318
0,13
0,5164
0,9221
1,3415
1,7687
2,198
2,6235
3,0392
3,4394
3,8187
4,1718
4,4938
4,7804
5,0276
5,232
5,3909
5,502
5,564
5,5759
5,5377
5,4499
5,3139
5,1315
4,9054
4,6388
4,3354
3,9995
3,6358
3,2494
2,8458
2,4306
2,0097
1,5888
1,1741
0,7711
0,3857
0,0233
-0,3112
-0,6129
-0,8777
-1,1018
-1,282
-1,4158
-1,5013
-1,5373
-1,5231
-1,459
-1,3458
-1,185
-0,9788
-0,7301
-0,4422
-0,1191
0,2347
0,6144
1,0147
1,4302
1,855
2,2833
2,7092
3,1269
3,5304
3,9144
4,2735
4,6027
4,8975
5,1538
5,3681
5,5376
5,6598
5,7331
5,7565
5,7298
5,6533
5,5282
5,3563
5,1399
4,8821
4,5866
4,2575
3,8994
3,5174
3,1167
2,7031
2,2822
1,8601
1,4425
1,0354
0,6444
0,275
-0,0675
-0,3785
-0,6535
-0,8886
-1,0807
-1,2268
-1,3251
-1,3741
-1,373
